"","steps","date","interval","hour","minute"
"1",1.71698113207547,"2012-10-01",0,0,0
"2",0.339622641509434,"2012-10-01",5,0,5
"3",0.132075471698113,"2012-10-01",10,0,10
"4",0.150943396226415,"2012-10-01",15,0,15
"5",0.0754716981132075,"2012-10-01",20,0,20
"6",2.09433962264151,"2012-10-01",25,0,25
"7",0.528301886792453,"2012-10-01",30,0,30
"8",0.867924528301887,"2012-10-01",35,0,35
"9",0,"2012-10-01",40,0,40
"10",1.47169811320755,"2012-10-01",45,0,45
"11",0.30188679245283,"2012-10-01",50,0,50
"12",0.132075471698113,"2012-10-01",55,0,55
"13",0.320754716981132,"2012-10-01",100,1,0
"14",0.679245283018868,"2012-10-01",105,1,5
"15",0.150943396226415,"2012-10-01",110,1,10
"16",0.339622641509434,"2012-10-01",115,1,15
"17",0,"2012-10-01",120,1,20
"18",1.11320754716981,"2012-10-01",125,1,25
"19",1.83018867924528,"2012-10-01",130,1,30
"20",0.169811320754717,"2012-10-01",135,1,35
"21",0.169811320754717,"2012-10-01",140,1,40
"22",0.377358490566038,"2012-10-01",145,1,45
"23",0.264150943396226,"2012-10-01",150,1,50
"24",0,"2012-10-01",155,1,55
"25",0,"2012-10-01",200,2,0
"26",0,"2012-10-01",205,2,5
"27",1.13207547169811,"2012-10-01",210,2,10
"28",0,"2012-10-01",215,2,15
"29",0,"2012-10-01",220,2,20
"30",0.132075471698113,"2012-10-01",225,2,25
"31",0,"2012-10-01",230,2,30
"32",0.226415094339623,"2012-10-01",235,2,35
"33",0,"2012-10-01",240,2,40
"34",0,"2012-10-01",245,2,45
"35",1.54716981132075,"2012-10-01",250,2,50
"36",0.943396226415094,"2012-10-01",255,2,55
"37",0,"2012-10-01",300,3,0
"38",0,"2012-10-01",305,3,5
"39",0,"2012-10-01",310,3,10
"40",0,"2012-10-01",315,3,15
"41",0.207547169811321,"2012-10-01",320,3,20
"42",0.622641509433962,"2012-10-01",325,3,25
"43",1.62264150943396,"2012-10-01",330,3,30
"44",0.584905660377358,"2012-10-01",335,3,35
"45",0.490566037735849,"2012-10-01",340,3,40
"46",0.0754716981132075,"2012-10-01",345,3,45
"47",0,"2012-10-01",350,3,50
"48",0,"2012-10-01",355,3,55
"49",1.18867924528302,"2012-10-01",400,4,0
"50",0.943396226415094,"2012-10-01",405,4,5
"51",2.56603773584906,"2012-10-01",410,4,10
"52",0,"2012-10-01",415,4,15
"53",0.339622641509434,"2012-10-01",420,4,20
"54",0.358490566037736,"2012-10-01",425,4,25
"55",4.11320754716981,"2012-10-01",430,4,30
"56",0.660377358490566,"2012-10-01",435,4,35
"57",3.49056603773585,"2012-10-01",440,4,40
"58",0.830188679245283,"2012-10-01",445,4,45
"59",3.11320754716981,"2012-10-01",450,4,50
"60",1.11320754716981,"2012-10-01",455,4,55
"61",0,"2012-10-01",500,5,0
"62",1.56603773584906,"2012-10-01",505,5,5
"63",3,"2012-10-01",510,5,10
"64",2.24528301886792,"2012-10-01",515,5,15
"65",3.32075471698113,"2012-10-01",520,5,20
"66",2.9622641509434,"2012-10-01",525,5,25
"67",2.09433962264151,"2012-10-01",530,5,30
"68",6.05660377358491,"2012-10-01",535,5,35
"69",16.0188679245283,"2012-10-01",540,5,40
"70",18.3396226415094,"2012-10-01",545,5,45
"71",39.4528301886792,"2012-10-01",550,5,50
"72",44.4905660377358,"2012-10-01",555,5,55
"73",31.4905660377358,"2012-10-01",600,6,0
"74",49.2641509433962,"2012-10-01",605,6,5
"75",53.7735849056604,"2012-10-01",610,6,10
"76",63.4528301886792,"2012-10-01",615,6,15
"77",49.9622641509434,"2012-10-01",620,6,20
"78",47.0754716981132,"2012-10-01",625,6,25
"79",52.1509433962264,"2012-10-01",630,6,30
"80",39.3396226415094,"2012-10-01",635,6,35
"81",44.0188679245283,"2012-10-01",640,6,40
"82",44.1698113207547,"2012-10-01",645,6,45
"83",37.3584905660377,"2012-10-01",650,6,50
"84",49.0377358490566,"2012-10-01",655,6,55
"85",43.811320754717,"2012-10-01",700,7,0
"86",44.377358490566,"2012-10-01",705,7,5
"87",50.5094339622642,"2012-10-01",710,7,10
"88",54.5094339622642,"2012-10-01",715,7,15
"89",49.9245283018868,"2012-10-01",720,7,20
"90",50.9811320754717,"2012-10-01",725,7,25
"91",55.6792452830189,"2012-10-01",730,7,30
"92",44.3207547169811,"2012-10-01",735,7,35
"93",52.2641509433962,"2012-10-01",740,7,40
"94",69.5471698113208,"2012-10-01",745,7,45
"95",57.8490566037736,"2012-10-01",750,7,50
"96",56.1509433962264,"2012-10-01",755,7,55
"97",73.377358490566,"2012-10-01",800,8,0
"98",68.2075471698113,"2012-10-01",805,8,5
"99",129.433962264151,"2012-10-01",810,8,10
"100",157.528301886792,"2012-10-01",815,8,15
"101",171.150943396226,"2012-10-01",820,8,20
"102",155.396226415094,"2012-10-01",825,8,25
"103",177.301886792453,"2012-10-01",830,8,30
"104",206.169811320755,"2012-10-01",835,8,35
"105",195.924528301887,"2012-10-01",840,8,40
"106",179.566037735849,"2012-10-01",845,8,45
"107",183.396226415094,"2012-10-01",850,8,50
"108",167.018867924528,"2012-10-01",855,8,55
"109",143.452830188679,"2012-10-01",900,9,0
"110",124.037735849057,"2012-10-01",905,9,5
"111",109.11320754717,"2012-10-01",910,9,10
"112",108.11320754717,"2012-10-01",915,9,15
"113",103.716981132075,"2012-10-01",920,9,20
"114",95.9622641509434,"2012-10-01",925,9,25
"115",66.2075471698113,"2012-10-01",930,9,30
"116",45.2264150943396,"2012-10-01",935,9,35
"117",24.7924528301887,"2012-10-01",940,9,40
"118",38.7547169811321,"2012-10-01",945,9,45
"119",34.9811320754717,"2012-10-01",950,9,50
"120",21.0566037735849,"2012-10-01",955,9,55
"121",40.5660377358491,"2012-10-01",1000,10,0
"122",26.9811320754717,"2012-10-01",1005,10,5
"123",42.4150943396226,"2012-10-01",1010,10,10
"124",52.6603773584906,"2012-10-01",1015,10,15
"125",38.9245283018868,"2012-10-01",1020,10,20
"126",50.7924528301887,"2012-10-01",1025,10,25
"127",44.2830188679245,"2012-10-01",1030,10,30
"128",37.4150943396226,"2012-10-01",1035,10,35
"129",34.6981132075472,"2012-10-01",1040,10,40
"130",28.3396226415094,"2012-10-01",1045,10,45
"131",25.0943396226415,"2012-10-01",1050,10,50
"132",31.9433962264151,"2012-10-01",1055,10,55
"133",31.3584905660377,"2012-10-01",1100,11,0
"134",29.6792452830189,"2012-10-01",1105,11,5
"135",21.3207547169811,"2012-10-01",1110,11,10
"136",25.5471698113208,"2012-10-01",1115,11,15
"137",28.377358490566,"2012-10-01",1120,11,20
"138",26.4716981132075,"2012-10-01",1125,11,25
"139",33.4339622641509,"2012-10-01",1130,11,30
"140",49.9811320754717,"2012-10-01",1135,11,35
"141",42.0377358490566,"2012-10-01",1140,11,40
"142",44.6037735849057,"2012-10-01",1145,11,45
"143",46.0377358490566,"2012-10-01",1150,11,50
"144",59.188679245283,"2012-10-01",1155,11,55
"145",63.8679245283019,"2012-10-01",1200,12,0
"146",87.6981132075472,"2012-10-01",1205,12,5
"147",94.8490566037736,"2012-10-01",1210,12,10
"148",92.7735849056604,"2012-10-01",1215,12,15
"149",63.3962264150943,"2012-10-01",1220,12,20
"150",50.1698113207547,"2012-10-01",1225,12,25
"151",54.4716981132075,"2012-10-01",1230,12,30
"152",32.4150943396226,"2012-10-01",1235,12,35
"153",26.5283018867925,"2012-10-01",1240,12,40
"154",37.7358490566038,"2012-10-01",1245,12,45
"155",45.0566037735849,"2012-10-01",1250,12,50
"156",67.2830188679245,"2012-10-01",1255,12,55
"157",42.3396226415094,"2012-10-01",1300,13,0
"158",39.8867924528302,"2012-10-01",1305,13,5
"159",43.2641509433962,"2012-10-01",1310,13,10
"160",40.9811320754717,"2012-10-01",1315,13,15
"161",46.2452830188679,"2012-10-01",1320,13,20
"162",56.4339622641509,"2012-10-01",1325,13,25
"163",42.7547169811321,"2012-10-01",1330,13,30
"164",25.1320754716981,"2012-10-01",1335,13,35
"165",39.9622641509434,"2012-10-01",1340,13,40
"166",53.5471698113208,"2012-10-01",1345,13,45
"167",47.3207547169811,"2012-10-01",1350,13,50
"168",60.811320754717,"2012-10-01",1355,13,55
"169",55.7547169811321,"2012-10-01",1400,14,0
"170",51.9622641509434,"2012-10-01",1405,14,5
"171",43.5849056603774,"2012-10-01",1410,14,10
"172",48.6981132075472,"2012-10-01",1415,14,15
"173",35.4716981132075,"2012-10-01",1420,14,20
"174",37.5471698113208,"2012-10-01",1425,14,25
"175",41.8490566037736,"2012-10-01",1430,14,30
"176",27.5094339622642,"2012-10-01",1435,14,35
"177",17.1132075471698,"2012-10-01",1440,14,40
"178",26.0754716981132,"2012-10-01",1445,14,45
"179",43.622641509434,"2012-10-01",1450,14,50
"180",43.7735849056604,"2012-10-01",1455,14,55
"181",30.0188679245283,"2012-10-01",1500,15,0
"182",36.0754716981132,"2012-10-01",1505,15,5
"183",35.4905660377358,"2012-10-01",1510,15,10
"184",38.8490566037736,"2012-10-01",1515,15,15
"185",45.9622641509434,"2012-10-01",1520,15,20
"186",47.7547169811321,"2012-10-01",1525,15,25
"187",48.1320754716981,"2012-10-01",1530,15,30
"188",65.3207547169811,"2012-10-01",1535,15,35
"189",82.9056603773585,"2012-10-01",1540,15,40
"190",98.6603773584906,"2012-10-01",1545,15,45
"191",102.11320754717,"2012-10-01",1550,15,50
"192",83.9622641509434,"2012-10-01",1555,15,55
"193",62.1320754716981,"2012-10-01",1600,16,0
"194",64.1320754716981,"2012-10-01",1605,16,5
"195",74.5471698113208,"2012-10-01",1610,16,10
"196",63.1698113207547,"2012-10-01",1615,16,15
"197",56.9056603773585,"2012-10-01",1620,16,20
"198",59.7735849056604,"2012-10-01",1625,16,25
"199",43.8679245283019,"2012-10-01",1630,16,30
"200",38.5660377358491,"2012-10-01",1635,16,35
"201",44.6603773584906,"2012-10-01",1640,16,40
"202",45.4528301886792,"2012-10-01",1645,16,45
"203",46.2075471698113,"2012-10-01",1650,16,50
"204",43.6792452830189,"2012-10-01",1655,16,55
"205",46.622641509434,"2012-10-01",1700,17,0
"206",56.3018867924528,"2012-10-01",1705,17,5
"207",50.7169811320755,"2012-10-01",1710,17,10
"208",61.2264150943396,"2012-10-01",1715,17,15
"209",72.7169811320755,"2012-10-01",1720,17,20
"210",78.9433962264151,"2012-10-01",1725,17,25
"211",68.9433962264151,"2012-10-01",1730,17,30
"212",59.6603773584906,"2012-10-01",1735,17,35
"213",75.0943396226415,"2012-10-01",1740,17,40
"214",56.5094339622642,"2012-10-01",1745,17,45
"215",34.7735849056604,"2012-10-01",1750,17,50
"216",37.4528301886792,"2012-10-01",1755,17,55
"217",40.6792452830189,"2012-10-01",1800,18,0
"218",58.0188679245283,"2012-10-01",1805,18,5
"219",74.6981132075472,"2012-10-01",1810,18,10
"220",85.3207547169811,"2012-10-01",1815,18,15
"221",59.2641509433962,"2012-10-01",1820,18,20
"222",67.7735849056604,"2012-10-01",1825,18,25
"223",77.6981132075472,"2012-10-01",1830,18,30
"224",74.2452830188679,"2012-10-01",1835,18,35
"225",85.3396226415094,"2012-10-01",1840,18,40
"226",99.4528301886792,"2012-10-01",1845,18,45
"227",86.5849056603774,"2012-10-01",1850,18,50
"228",85.6037735849057,"2012-10-01",1855,18,55
"229",84.8679245283019,"2012-10-01",1900,19,0
"230",77.8301886792453,"2012-10-01",1905,19,5
"231",58.0377358490566,"2012-10-01",1910,19,10
"232",53.3584905660377,"2012-10-01",1915,19,15
"233",36.3207547169811,"2012-10-01",1920,19,20
"234",20.7169811320755,"2012-10-01",1925,19,25
"235",27.3962264150943,"2012-10-01",1930,19,30
"236",40.0188679245283,"2012-10-01",1935,19,35
"237",30.2075471698113,"2012-10-01",1940,19,40
"238",25.5471698113208,"2012-10-01",1945,19,45
"239",45.6603773584906,"2012-10-01",1950,19,50
"240",33.5283018867925,"2012-10-01",1955,19,55
"241",19.622641509434,"2012-10-01",2000,20,0
"242",19.0188679245283,"2012-10-01",2005,20,5
"243",19.3396226415094,"2012-10-01",2010,20,10
"244",33.3396226415094,"2012-10-01",2015,20,15
"245",26.811320754717,"2012-10-01",2020,20,20
"246",21.1698113207547,"2012-10-01",2025,20,25
"247",27.3018867924528,"2012-10-01",2030,20,30
"248",21.3396226415094,"2012-10-01",2035,20,35
"249",19.5471698113208,"2012-10-01",2040,20,40
"250",21.3207547169811,"2012-10-01",2045,20,45
"251",32.3018867924528,"2012-10-01",2050,20,50
"252",20.1509433962264,"2012-10-01",2055,20,55
"253",15.9433962264151,"2012-10-01",2100,21,0
"254",17.2264150943396,"2012-10-01",2105,21,5
"255",23.4528301886792,"2012-10-01",2110,21,10
"256",19.2452830188679,"2012-10-01",2115,21,15
"257",12.4528301886792,"2012-10-01",2120,21,20
"258",8.0188679245283,"2012-10-01",2125,21,25
"259",14.6603773584906,"2012-10-01",2130,21,30
"260",16.3018867924528,"2012-10-01",2135,21,35
"261",8.67924528301887,"2012-10-01",2140,21,40
"262",7.79245283018868,"2012-10-01",2145,21,45
"263",8.13207547169811,"2012-10-01",2150,21,50
"264",2.62264150943396,"2012-10-01",2155,21,55
"265",1.45283018867925,"2012-10-01",2200,22,0
"266",3.67924528301887,"2012-10-01",2205,22,5
"267",4.81132075471698,"2012-10-01",2210,22,10
"268",8.50943396226415,"2012-10-01",2215,22,15
"269",7.07547169811321,"2012-10-01",2220,22,20
"270",8.69811320754717,"2012-10-01",2225,22,25
"271",9.75471698113208,"2012-10-01",2230,22,30
"272",2.20754716981132,"2012-10-01",2235,22,35
"273",0.320754716981132,"2012-10-01",2240,22,40
"274",0.113207547169811,"2012-10-01",2245,22,45
